Facility Name,Location Address,Location Address2,City,State,Zip Code,County,Region,Phone Number,Owner Name,Owner Type,Activity Desc,Activity Number,Active,East Coordinate,North Coordinate,Accuracy Code,Waste Types,Authorization Number,Authorization Issue Date,Expiration Date,Georeference
Lee Center (T) Land Clearing,4771 Lee Center Taberg Rd/Hardy Road,,Lee Center,NY,13363,Oneida,6,3153363438,Town of Lee Center,Municipal,Landfill - land clearing debris,[33D22],Yes,453484,4794706,1 - No accuracy stated,,33D22,06/06/2013,,"4771 Lee Center Taberg Rd/Hardy Road
Lee Center, NY 13363
(43.310404, -75.545408)"
Mohawk Valley Materials Inc. - 7166 E. Dominick St.,7166 E. Dominick Street,,Rome,NY,13340,Oneida,6,3152716216,Joe Rutkowski,Private,Landfill - land clearing debris,[33D21],Yes,465939,4783647,,Land Clearing Debris,33D21,,,"7166 E. Dominick Street
Rome, NY 13340
(43.204943, -75.413385)"
Oneida-Herkimer Tannery Road Site,Tannery Road,,Rome (C),NY,13440,Oneida,6,3153391990,Oneida Herkimer SWMA,State,Landfill - land clearing debris,[33D11],Yes,456973,4787207,4 - GIS Assisted,,33D11,07/15/1999,,
Oneida-Herkimer Solid Waste Authority - Leland Ave. Ext.,80 Leland Avenue,,Utica,NY,13502,Oneida,6,3157380417,Oneida Herkimer SWA,Municipal,Landfill - land clearing debris,[33D19],Yes,484432,4772023,,,33D19,10/21/2002,,"80 Leland Avenue
Utica, NY 13502
(43.106545, -75.212374)"
Vernon (T) LCD LANDFILL,5650 Marble Road,Vernon Center,Vernon,NY,13477,Oneida,6,3157947778,Town of Vernon,Municipal,Landfill - land clearing debris,[33D13],Yes,457940,4763800,4.3 - Utilization of Digital Orthophoto Quads,,33D13,10/20/2009,,"5650 Marble Road
Vernon, NY 13477
(43.027434, -75.515427)"
Skaneateles Landclearing Debris Landfill,1676 Old Seneca Turnpike,,Skaneateles,NY,13152,Onondaga,7,3156734190,Town of Skaneateles,Municipal,Landfill - land clearing debris,[34D07],Yes,386107,4759608,,Wood (Brush/ Branches/ Trees/ Stumps);Wood (Trees/Stumps),34D07,,,"1676 Old Seneca Turnpike
Skaneateles, NY 13152
(42.980309, -76.389966)"
Honeywell/Camillus Bed #15 C&D,6051 Belle Isle Road,,Syracuse,NY,13209,Onondaga,7,3154884846,Honeywell International; Inc.,Private,Landfill - C&DD - permit,[34LC0029],Yes,398379,4768459,4.3 - Utilization of Digital Orthophoto Quads,Construction & Demolition Debris,,,,"6051 Belle Isle Road
Syracuse, NY 13209
(43.063243, -76.248712)"
Ontario County Sanitary Landfill,1879 Route 5&20,,Stanley,NY,14561,Ontario,8,5855264420,Ontario County,County,Landfill - MSW - permit,[35S11],Yes,330097,4746921,4.3 - Utilization of Digital Orthophoto Quads,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Industrial;Sewage Treatment Plant Sludge;Asbestos (Friable & Non-Friable),8-3244-00004/00001,07/22/2014,01/20/2025,"1879 Route 5&20
Stanley, NY 14561
(42.860757, -77.081086)"
Van Voorhis Farm; Inc,432 Fishers Road,,Victor,NY,14453,Ontario,8,5859245506,Jack Van Voorhis,Private,Landfill - land clearing debris,[35D12],Yes,298350,4765250,2 - Manual Measurements,Land Clearing Debris,,,,
Victor Insulators Inc,280 Maple Street,,Victor,NY,14564,Ontario,8,5859242127,Victor Insulators Inc,Private,Landfill - industrial waste monofill - permit,[35N01],Yes,303000,4760900,,,8-3248-00030/02001,07/11/2013,12/31/2023,"280 Maple Street
Victor, NY 14564
(42.975959, -77.411167)"
Danskammer Landfill(Mercia),994 River Road,Danskammer Generation Station,Newburgh,NY,12550,Orange,3,8455639116,Helios Power Capital LLC,Private,Landfill - industrial waste monofill - permit,[36N01],Yes,586321,4602888,,Ash (Coal-Fly);Ash (Coal-Bottom),3-3346-00011/00018,12/05/2018,11/13/2021,"994 River Road
Newburgh, NY 12550
(41.571641, -73.976941)"
Roosevelt Pit,273 Roosevelt Road,,Bernhards Bay,NY,13042,Oswego,7,3156758264,Town of Constantia,,Landfill - land clearing debris,[38D06],Yes,425720,4792277,,Wood (Brush/ Branches/ Trees/ Stumps),38D06,05/06/2016,,"273 Roosevelt Road
Bernhards Bay, NY 13042
(43.279641, -75.904708)"
Bristol Hill SLF,3125 State Route 3,,Fulton,NY,13069,Oswego,7,3155919200,Oswego County DSW,County,Landfill - MSW - permit,[38S14],Yes,391402,4800263,4.2 - Utilization of GIS and existing spatial data,Ash MSW Energy Recovery Combined;MSW (Residential/Institutional & Commercial);Asbestos (Friable & Non-Friable),7-3558-00012/00013,04/04/2017,04/03/2027,"3125 State Route 3
Fulton, NY 13069
(43.339737, -76.344947)"
Dunn C&D LF,209 Partition Street Extension,,Rensselaer,NY,12144,Rensselaer,4,5186506106,SA Dunn & Company LLC,Private,Landfill - C&DD - permit,[42D20],Yes,604450,4722400,,,4-3899-00006/00001,07/20/2012,07/19/2022,"209 Partition Street Extension
Rensselaer, NY 12144
(42.643602, -73.728871)"
Dan Arnold LCD Landfill,921 Whitesides Rd,,Broadalbin,NY,12025,Saratoga,5,5188835733,Dan Arnold,Private,Landfill - land clearing debris,[46D30],Yes,572900,4768177,1 - No accuracy stated,Land Clearing Debris,46D30,06/16/2005,,"921 Whitesides Rd
Broadalbin, NY 12025
(43.062428, -74.105467)"
Kahn Property LCD Landfill,269 Lake Hill Rd,,Burnt Hills,NY,12027,Saratoga,5,5183999374,Andrew Kahn,Private,Landfill - land clearing debris,[46D33],Yes,587956,4751401,1 - No accuracy stated,Land Clearing Debris,46D33,09/12/2012,,"269 Lake Hill Rd
Burnt Hills, NY 12027
(42.910277, -73.92276)"
Emery Land Clearing Debris Landfill,18 Emery Lane,,Corinth,NY,12822,Saratoga,5,5186546401,Ira J Emery,Private,Landfill - land clearing debris,[46D17],Yes,593425,4786839,,Land Clearing Debris,46D17,10/22/1999,,"18 Emery Lane
Corinth, NY 12822
(43.226914, -73.847197)"
Green Ridge RDF,424 Peters Road,,Gansevoort,NY,12831,Saratoga,5,5186362141,Finch Waste Co LLC,Private,Landfill - MSW - permit,[46LS0025],Yes,613263,4784286,,,5-4146-00018/00010,03/22/2021,03/21/2031,"424 Peters Road
Gansevoort, NY 12831
(43.190283, -73.588493)"
Munter Pit Land Clearing Debris Landfill,881 Murray Road,,Middle Grove,NY,12850,Saratoga,5,5185846174,Munter Enterprises,Private,Landfill - land clearing debris,[46D22],Yes,588905,4769666,,Land Clearing Debris,46D22,05/14/2002,,"881 Murray Road
Middle Grove, NY 12850
(43.074247, -73.907366)"
Groff Land Clearing Debris Landfill,82 Brook Road,,Saratoga Springs,NY,12866,Saratoga,5,5185840586,Howard H. Jr & Cynthia P. Groff,Private,Landfill - land clearing debris,[46D06],Yes,595327,4770849,,Land Clearing Debris,46D06,05/09/1995,,"82 Brook Road
Saratoga Springs, NY 12866
(43.084924, -73.828561)"
Route 29 Pit,NYS Route 29,,Saratoga Springs,NY,12866,Saratoga,5,5188852235,Saratoga County Dept. of Public Works,County,Landfill - land clearing debris,[46D29],Yes,607824,4771928,,Land Clearing Debris,46D29,04/05/2004,,
Welcome Stock Farm,285 West River Road,,Schuylerville,NY,12871,Saratoga,5,5184246770,Welcome Stock Farm LLC,Private,Landfill - land clearing debris,[46D32],Yes,613886,4778072,,Land Clearing Debris,46D32,05/14/2009,,"285 West River Road
Schuylerville, NY 12871
(43.145518, -73.600059)"
Riberdy Contracting Corp,27 Button Road,,Waterford,NY,12188,Saratoga,5,5182376917,Francis E. Riberdy,Private,Landfill - land clearing debris,[46D31],Yes,606189,4743467,,Land Clearing Debris,46D31,06/23/2005,,"27 Button Road
Waterford, NY 12188
(42.83621, -73.701635)"
Frost Tree & Brush,286 Tidball Road,,Duanesburg,NY,12306,Schenectady,4,,Robert Frost,Private,Landfill - land clearing debris,[47D17],Yes,572069,4739249,1 - No accuracy stated,,47D17,,,"286 Tidball Road
Duanesburg, NY 12306
(42.802036, -74.120835)"
Seneca Meadows LF,1786 Salcman Road,,Waterloo,NY,13165,Seneca,8,3155395624,Seneca Meadows Inc,Private,Landfill - MSW - permit,[50S08],Yes,349327,4754187,,Ash MSW Energy Recovery Fly;Construction & Demolition Debris;Non-petroleum Contaminated Soil;Sewage Treatment Plant Sludge;Industrial;MSW (Residential/Institutional & Commercial);Waste Tires;Treated RMW;Grit & Screenings;Asbestos (Friable & Non-Friable),8-4532-00023/00001,10/31/2017,12/31/2025,"1786 Salcman Road
Waterloo, NY 13165
(42.915265, -76.843801)"
Bath Sanitary Landfill,5632 Turnpike Road,,Bath,NY,14810,Steuben,8,6077763191,Steuben County,County,Landfill - MSW - permit,[51LS0025],Yes,303935,4687722,1 - No accuracy stated,Asbestos (Friable);Construction & Demolition Debris;Non-Radioactive;Commingled Paper & Containers;Industrial;Petroleum Contaminated Soil;MSW (Residential/Institutional & Commercial),8-4624-00031/00010,10/10/2019,02/12/2024,"5632 Turnpike Road
Bath, NY 14810
(42.324654, -77.383997)"
Erwin Gravel Pit,Addison Road,,Painted Post,NY,14870,Steuben,8,6079627021,Town of Erwin,Municipal,Landfill - land clearing debris,[51D04],Yes,318596,4664132,1 - No accuracy stated,Land Clearing Debris,51D04,,,
Hakes C&D Disposal Inc,4376 Manning Ridge Road,,Painted Post,NY,14870,Steuben,8,6079376044,Russell Anderson,Private,Landfill - C&DD - permit,[51LC0300],Yes,325746,4675038,4.1 - Address Matching,,8-6430-00010/00001,12/19/2019,11/10/2023,"4376 Manning Ridge Road
Painted Post, NY 14870
(42.211604, -77.110996)"
Morristown LCD,136 County Route #2,,Brier Hill,NY,13614,St. Lawrence,6,3153756563,Town of Morristown,Municipal,Landfill - land clearing debris,[45D03],Yes,448267,4931609,4.2 - Utilization of GIS and existing spatial data,Wood (Trees/Stumps),45D03,04/23/2004,,"136 County Route #2
Brier Hill, NY 13614
(44.53584, -75.65052)"
Canton LCD,731 State Highway 310,,Canton,NY,13617,St. Lawrence,6,3153223643,Terry Billings,,Landfill - land clearing debris,[45D16],Yes,488276,4943497,,Land Clearing Debris,45D16,05/11/2015,,"731 State Highway 310
Canton, NY 13617
(44.642807, -75.148045)"
Hammond LCD,Hyde Road,,Hammond,NY,13646,St. Lawrence,6,3153245611,Town of Hammond,Municipal,Landfill - land clearing debris,[45D08],Yes,444877,4923497,1 - No accuracy stated,,45D08,09/22/2011,,
Hermon LCD,125 Washington Street,,Hermon,NY,13652,St. Lawrence,6,3153472050,Town of Hermon,Municipal,Landfill - land clearing debris,[45D11],Yes,481884,4924330,,,45D11,05/06/2014,,"125 Washington Street
Hermon, NY 13652
(44.470441, -75.227969)"
Louisville LCD,County Route 39,,Massena,NY,13662,St. Lawrence,6,3157695651,Town of Louisville,Municipal,Landfill - land clearing debris,[45D15],Yes,500656,4968435,,Land Clearing Debris,45D15,06/27/2013,,
Norfolk LCD,Town of Norfolk,Joy Road,Norfolk,NY,13667,St. Lawrence,6,3153844911,Town of Norfolk,Municipal,Landfill - land clearing debris,[45D04],Yes,503995,4963185,4.3 - Utilization of Digital Orthophoto Quads,,45D04,10/06/2005,,
Lawrence LCD,McAuslin Road,,North Lawrence,NY,12967,St. Lawrence,6,3153894487,Town of Lawrence,Municipal,Landfill - land clearing debris,[45D06],Yes,528289,4961068,4.3 - Utilization of Digital Orthophoto Quads,Land Clearing Debris,45D06,05/06/2009,,
Fiacco LCD,69 South Main Street,,Norwood,NY,13668,St. Lawrence,6,3153532041,Tom Fiacco Jr.,Private,Landfill - land clearing debris,[45D18],Yes,500692,4954457,4.1 - Address Matching,Land Clearing Debris,45D17,08/10/2015,,"69 South Main Street
Norwood, NY 13668
(44.743098, -74.991926)"
Norwood LCD,11 Bernard Ave,,Norwood,NY,13668,St. Lawrence,6,3153536667,Village of Norwood,Municipal,Landfill - land clearing debris,[45D05],Yes,502062,4956837,4.3 - Utilization of Digital Orthophoto Quads,,45D05,10/05/2006,,"11 Bernard Ave
Norwood, NY 13668
(44.74944, -74.997631)"
Ogdensburg LCD,Outer Champlain Street,,Ogdensburg,NY,13669,St. Lawrence,6,3153932300,City of Ogdensburg,Municipal,Landfill - land clearing debris,[45D09],Yes,461600,4943800,,,45D09,01/10/2013,,
Parishville LCD,P.O. Box 155,,Parishville,NY,13672,St. Lawrence,6,,Town of Parishville,Municipal,Landfill - land clearing debris,[45D02],Yes,514769,4941718,4.1 - Address Matching,,45D02,01/12/2007,,
Stockholm LCD,Reed Road,,Winthrop,NY,13697,St. Lawrence,6,3153894684,Town of Stockholm,Municipal,Landfill - land clearing debris,[45D01],Yes,514089,4954575,4.1 - Address Matching,Wood (Trees/Stumps);Wood (Brush/ Branches/ Trees/ Stumps);Land Clearing Debris,45D01,06/03/2003,,
Blydenburgh Road Landfill Complex,440 Blydenburgh Road,,Hauppauge,NY,11787,Suffolk,1,6314366162,Islip Resource Recovery Agency,Municipal,Landfill - LI - inside the deep flow recharge - permit,[52D46],Yes,653394,4519711,4.2 - Utilization of GIS and existing spatial data,Clean Fill,1-4728-00628/00017,12/20/2017,12/19/2022,"440 Blydenburgh Road
Hauppauge, NY 11787
(40.813895, -73.180602)"
110 Sand Company Clean Fill Disposal Site,136 Spagnolli Road,,Melville,NY,11747,Suffolk,1,6316942822,Broad Hollow Estates,Private,Landfill - LI - inside the deep flow recharge - permit,[52LR0351],Yes,631772,4513853,4.2 - Utilization of GIS and existing spatial data,Clean Fill;Construction & Demolition Debris,1-4726-00490/00010,05/14/2021,05/13/2026,"136 Spagnolli Road
Melville, NY 11747
(40.761684, -73.434127)"
Port Jefferson Village Clean Fill,Old Homestead Road,,Port Jefferson,NY,11777,Suffolk,1,6314734733,Village of Port Jefferson,Municipal,Landfill - Long Island - cleanfill < 2 acres,[52D43],Yes,664006,4536339,4.2 - Utilization of GIS and existing spatial data,Land Clearing Debris;Brick;Concrete;Soil (Clean);Wood (Brush/ Branches/ Trees/ Stumps);Wood (Trees/Stumps),1-4722-00871/00001,12/12/2012,12/11/2022,
Babylon Southern Ashfill,Edison & Gleam St.,,West Babylon,NY,11704,Suffolk,1,6314227640,Town of Babylon,Municipal,Landfill - Long Island,[52A01],Yes,636645,4510592,4.2 - Utilization of GIS and existing spatial data,Ash MSW Energy Recovery Combined,1-4720-00778/00014,04/02/2018,04/01/2023,
Brookhaven Waste Management Facility,350 Horseblock Road,,Yaphank,NY,11719,Suffolk,1,6312868551,Town of Brookhaven,Municipal,Landfill - LI - outside the deep flow recharge - permit,[52LN0226],Yes,675100,4518600,4.2 - Utilization of GIS and existing spatial data,Ash (WWTP Sludge);Ash MSW Energy Recovery Combined;Construction & Demolition Debris;Sewage Treatment Plant Sludge;Downtime waste;Bypass Waste (Unprocessible/Processible),1-4722-00030/00019,07/12/2021,07/11/2026,
Old Reservoir Site,Reservoir Hill Road,,Candor,NY,13743,Tioga,7,6076597966,Village of Candor,Municipal,Landfill - land clearing debris,[54D02],Yes,390900,4674200,1 - No accuracy stated,Wood (Brush/ Branches/ Trees/ Stumps);Leaves & Grass,54D02,04/19/2012,,
Angelo Sand and Gravel,310 Hillview Rd.,,Spencer,NY,14883,Tioga,7,6072738139,Landstrom Gravel Co.; Inc.,Private,Landfill - land clearing debris,[54D01],Yes,377483,4681738,1 - No accuracy stated,Land Clearing Debris,54D01,08/22/1997,,"310 Hillview Rd.
Spencer, NY 14883
(42.282244, -76.498638)"
American Tree Company,1343 Bay Road,,Lake George,NY,12845,Warren,5,5187614636,Daniel Stranahan,Private,Landfill - land clearing debris,[57W03],Yes,609300,4806747,4.3 - Utilization of Digital Orthophoto Quads,Land Clearing Debris,57W03,07/07/2003,,"1343 Bay Road
Lake George, NY 12845
(43.396187, -73.647259)"
Lake George C&D Debris Landfill,70 Transfer Road,,Lake George,NY,12845,Warren,5,5186682963,Town of Lake George,Municipal,Landfill - C&DD - permit,[57LC0019],Yes,603200,4806032,,Construction & Demolition Debris,5-5222-00140/00004,09/29/2021,10/02/2026,"70 Transfer Road
Lake George, NY 12845
(43.400276, -73.728683)"
Lake George Sand & Gravel LCD,70 Transfer Road,,Lake George,NY,12845,Warren,5,5187984151,Cutting Edge Group LLC,Private,Landfill - land clearing debris,[57D13],Yes,603017,4805828,,Land Clearing Debris,57D13,10/23/2002,,"70 Transfer Road
Lake George, NY 12845
(43.400276, -73.728683)"
Lake Luzerne Land Clearing Debris Landfill,119 Towner Road,(behind former Landfill area),Lake Luzerne,NY,12846,Warren,5,5186962711,Town of Lake Luzerne,Municipal,Landfill - land clearing debris,[57D08],Yes,594891,4799325,4.2 - Utilization of GIS and existing spatial data,Land Clearing Debris,57D08,01/23/1996,,"119 Towner Road
Lake Luzerne, NY 12846
(43.340454, -73.822182)"
Morin LCD Landfill,Oven Mountain Road,,North Creek,NY,12853,Warren,5,5182513595,Leon P Morin,Private,Landfill - land clearing debris,[57D14],Yes,582675,4831902,,Land Clearing Debris,57D14,04/02/2004,,
Queensbury - Jenkinsville Rd Mine Site LCD,Jenkinsville Road,,Queensbury,NY,12804,Warren,5,5187618211,Town Of Queensbury,Municipal,Landfill - land clearing debris,[57D16],Yes,611740,4804847,1 - No accuracy stated,Land Clearing Debris,57D16,,,
Tree Care by Stan Hunt LCD Landfill,53 Boulevard,,Queensbury,NY,12804,Warren,5,5187930804,Tree Care by Stan Hunt; Inc,Private,Landfill - land clearing debris,[57D17],Yes,613395,4796529,,,57D17,06/18/2007,,"53 Boulevard
Queensbury, NY 12804
(43.313458, -73.599924)"
Thurman C&D Debris Landfill,Erving Baker Road,,Thurman,NY,12810,Warren,5,5186239649,Town of Thurman,Municipal,Landfill - C&DD - permit,[57D03],Yes,588232,4818224,,Construction & Demolition Debris,5-5238-00010-00002,04/05/2017,04/04/2022,
Yole Pit (LCD Landfill),NYS Route 149,,Fort Ann,NY,12827,Washington,5,5187980674,Schermerhorn Sand & Gravel LLC,Private,Landfill - land clearing debris,[58D06],Yes,615732,4807118,1 - No accuracy stated,Land Clearing Debris,58D06,02/06/2003,,
Easton Sand & Gravel,61 Hogsback Road,,Greenwich,NY,12834,Washington,5,5186953220,Paul Woolley,Private,Landfill - land clearing debris,[58D07],Yes,616672,4774220,,Land Clearing Debris,58D07,06/20/2005,,"61 Hogsback Road
Greenwich, NY 12834
(43.111192, -73.566089)"
Moy Enterprises LCD Landfill,143 Becker Road,,Greenwich,NY,12834,Washington,5,5186929455,Brotherhood Farms,Private,Landfill - land clearing debris,[58D10],Yes,616989,4765985,4.3 - Utilization of Digital Orthophoto Quads,Land Clearing Debris,10D10,03/23/2010,,"143 Becker Road
Greenwich, NY 12834
(42.999388, -73.530955)"
Williams Farm LCD Landfill,99 Wager Lane,,Schaghticoke,NY,12154,Washington,5,5184216273,Frank & Donna Williams,Private,Landfill - land clearing debris,[58D08],Yes,615040,4757668,,Land Clearing Debris,58D08,02/29/2008,,"99 Wager Lane
Schaghticoke, NY 12154
(42.96441, -73.585217)"
Walt Scott Timber Service,2200 Brandt Road,,Lyons,NY,14489,Wayne,8,5852617262,Richard Rogers,Private,Landfill - land clearing debris,[59D03],Yes,334927,4772658,1 - No accuracy stated,,59D03,06/27/2011,,"2200 Brandt Road
Lyons, NY 14489
(43.089305, -77.029544)"
Sprout Brook Ash Residue Disposal Facility,Old Albany Post Road,,Peekskill,NY,10601,Westchester,3,9146373000,Westchester County,County,Landfill - MSW - permit,[60S20],Yes,0,0,,,,,,
Lockwood Ash Disp Site,Swarthout Road,,Dresden,NY,14441,Yates,8,,GMMM Lockwood LLC,Private,Landfill - industrial waste monofill - permit,[62N01],Yes,339524,4726685,,,8-5736-00005/00003,09/05/2008,09/04/2018,
